Plants Non-Toxic to Cats
Acorn Squash | Similar plants: pumpkin, zucchini  | Cucurbita pepo | Cucurbitaceae
African Daisy | Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy  | Gerbera jamesonii | Compositae
African Violet | Cape Marigold  | Saintpaulia spp. | Gesneriaceae
Algaroba | Kiawe, Mesquite  | Prosopis limensis | Mimosaceae
Aluminum Plant | Watermelon Plant  | Pilea cadieri | Urticaceae
Alumroot | Coral Bells, Heuchera  | Heuchera sanguinea | Saxifragaceae
Alyssum | Alyssum varieties  | Alyssum spp. | Brassicaceae
American Rubber Plant | Pepper Face, Baby Rubber Plant  | Peperomia obtusifolia | Pipericeae
Amur Maple | Maple, Amur  | Acer ginnala | Sapindaceae
Anthericum Comosum | Ribbon Plant, Spider Plant, Spider Ivy  | Chlorophytum comosum | Asparagaceae
Antirrhinum Multiflorum | Withered Snapdragon  | Antirrhinum multiflorum | Scrophulariaceae
Arabian Gentian | Persian Violet, German Violet  | Exacum affine | Gentianaceae
Areca Palm | Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm  | Dypsis lutescens | Palmae
Aregelia | Crimson cup, Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant  | Neoregalia spp. | Bromeliaceae
Artillery Plant |   | Pilea microphylla | Urticaceae
Aspidium falcatum | Fern Holly, Japanese Holly, Fish Tail  | Cyrtomium falcatum | Polypodiaceae
Australian Pine | Norfolk Pine, House Pine, Norfolk Island Pine  | Araucaria heterophylla | Araucariaceae
Autumn Olive | Silver Berry, Russian Olive  | Eleagnus spp. | Elaeagnaceae
Baby Rubber Plant | Pepper Face, American Rubber Plant  | Peperomia obtusifolia | Pipericeae
Baby’s Breath | Maidens Breath  | Gypsophila elegans | Caryophyllaceae
Baby’s Tears | Polka Dot Plant, Measles Plant, Flamingo Plant, Freckle Face, Pink Splash  | Hypoestes phyllostachya | Acanthaceae
Bachelors Buttons | Cornflower, Bluebottle  | Centaurea cyanus | Asteraceae
Ball Fern | Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Hare Fern  | Davallia spp. | Polypodiaceae
Bamboo | Golden Bamboo, Fishpole Bamboo  | Phyllostachys aurea | Gramineae
Bamboo Palm | Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm  | Chamaedorea elegans | Palmae
Bamboo Vine | Blaspheme vine, Laurel-leaved Greenbrier  | Smilax laurifolia | Liliaceae
Banana | Plantain  | Musa acuminata | Musaceae
Banana Squash |   | Cucurbita maxima var. banana | Cucurbitaceae
Barberton Daisy | Transvaal Daisy, African Daisy, Veldt Daisy, Gerbera Daisy  | Gerbera jamesonii | Compositae
Barnaby's Thistle | Yellow Star Thistle  | Centaurea solstitialis | Compositae
Basil | Saint Joseph's Wort, Thai Basil, Sweet Basil  | Ocimum basilicum | Lamiacea
Beets | Beet Root, Red Beet, Swiss Chard, Roman Kale, Sugar Beet  | Beta vulgaris | Chenopodiaceae
Begonia, Climbing | Rex Begonia  | Cissus dicolor | Vitaceae
Begonia, Trailing | Trailing Watermelon Begonia  | Pellionia daveauana | Urticaceae
Belmore Sentry Palm | Curly Palm  | Howea belmoreana | Palmae
Big Shagbark Hickory | Big Shellbark Hickory, Shellbark Hickory, Shagbark Hickory  | Carya laciniosa | Juglandaceae
Big Shellbark Hickory | Shellbark Hickory  | Carya laciniosa | Juglandaceae
Bitter Pecan | Water Hickory  | Carya aquatica | Juglandaceae
Bitternut |   | Carya cordiformis | Juglandaceae
Black Haw | Wild Raisin, Tea Plant, Cowberry, Nannyberry, Sweet Viburnum, Nanny Plum, Sheepberry, Sweetberry  | Viburnum lentago | Caprifoliaceae
Black Hawthorn | Weisdornbluten, Blackthorn, Thorn Apple, Thorn Plum, Pirliteiro, Red Hawthorn, May Bush, Oxyacantha, Haw Apple, Black Haw, Aubepine  | Crataegus douglasii | Rosaceae
Black Walnut |   | Juglans nigra | Juglandaceae
Blackjack Pine | Ponderosa Pine, Western Yellow Pine, Yellow Pine, Bull Pine  | Pinus ponderosa | Pinaceae
Blaspheme Vine | Blaspheme vine, Laurel-leaved Greenbrier, Bamboo Vine  | Smilax laurifolia | Liliaceae
Bloodleaf | Chicken Gizzard, Yellow Bloodleaf, Joseph's Coat  | Iresine herbstii | Amaranthaceae
Blooming Sally | Willow Herb, Great Willow Herb, Fire Weed  | Epilobium angustifolium | Onagraceae
Blue Bead | Corn Lily  | Clintonia borealis | Liliaceae
Blue Daisy | Felicia, Blue Marguerite  | Felicia amelloides | Compositae
Blue Echeveria | Maroon Chenille Plant, Painted Lady, Copper Rose, Wax Rosette, Plush Plant  | Echeveria glauca | Crassulaceae
Blue Eyed Daisy | Blue-eyed African Daisy  | Arctotis stoechadifolia | Compositae
Blue-dicks | Wild Hyacinth  | Dichelostemma pulchellum | Amaryllidaceae
Blue-dicks 2 | Wild Hyacinth  | Hookera pulchella | Amaryllidaceae
Blue-dicks 3 | Wild Hyacinth  | Brodiaea pulchella | Amaryllidaceae
Blue-eyed African Daisy | Blue-eyed Daisy  | Arctotis stoechadifolia | Compositae
Bluebottle | Cornflower, Bachelors Buttons  | Centaurea cyanus | Asteraceae
Blunt Leaf Peperomia | Pepper Face, Baby Rubber Plant, American Rubber Plant  | Peperomia obtusifolia | Pipericeae
Blushing Bromeliad | Crimson cup, Marbled fingernail, Blushing Bromeliad, Ossifragi Vase, Miniature Marble plant, Aregelia  | Neoregalia spp. | Bromiliaceae
Bold Sword Fern |   | Nephrolepis biserrata | Dryopteridaceae
Boston Fern |   | Nephrolepis exalta bostoniensis | Dryopteridaceae
